Title,Company,Location,Skills
Video Editing/Making (MALE),Get Structured Consulting Services OPC Private Limited,Mumbai,N/A
AI Researcher (Non Tech),ABEX Excellence Private Limited,Chennai,N/A
Business Analytics,ABEX Excellence Private Limited,Chennai,N/A
Search Engine Optimization (SEO),Search Digitally,Mumbai,N/A
Social Media Marketing,Platform 3 Solutions,Bangalore                                                                (Hybrid),N/A
Digital Marketing,Codemonk,Bangalore,N/A
Marketing,Perceived Design,Bangalore,N/A
Content Writing,Brightrays,Noida,N/A
Human Resource Operations,Get Structured Consulting Services OPC Private Limited,Thane,N/A
CA Articleship,Manish Mittal And Company,Noida,N/A
E-commerce Executive,Estorenet Private Limited,Work from home,N/A
Graphic Design And 3D Modelling,HAWC R&D PRIVATE LIMITED,Work from home,N/A
Fitness Trainer,Primal Patterns,Chennai,N/A
Computer Operator,Cherag Traders,"Hyderabad, Secundrabad                                                                (Hybrid)",N/A
Field Sales,Shantinath Detergents Private Limited,"Hooghly, Howrah, Nadia, Murshidabad, South 24 Parganas, North 24 Parganas, Midnapore",N/A
Business Development (Sales),Nexcel Consultancy Private Limited,Dombivli,N/A
Content Creation,Fitkin,Delhi,N/A
Sales and Marketing,Praxis,Chennai,N/A
Outreach,Jainam Jivika Foundation,"Chennai, Delhi, Gurgaon, Indore, Kolkata, Pune, Hyderabad, Jaipur",N/A
Graphic Design,AskMyGuru.live,Bangalore                                                                (Hybrid),N/A
Human Resources (HR),Scalar Tech Media Private Limited,Mumbai,N/A
Content Marketing,Talview,Bangalore,N/A
Operations,Genesis Training,Bangalore                                                                (Hybrid),N/A
Customer Care Executive,AppVersal,Noida,N/A
Client Success & Application Manager,Bridge2job,Work from home,N/A
Product Design,Internshala,Gurgaon,N/A
Digital Content Creation Trainer,ThinkPro Academy,Bangalore,N/A
Digital Marketing,The Affordable Organic Store,Bangalore,N/A
Quality Analyst,Techdome Solutions Private Limited,"Indore, Hyderabad",N/A
Marketing,CATKing Educare,Mumbai,N/A
Content Writing,CATKing Educare,Mumbai,N/A
Market Research,Inspacco,Pune,N/A
Distributor Sales + Social Media Marketing (Startup Role),MASK Manpower,Work from home,N/A
AI Software Development,"Absolute Intelligence, Inc.",Work from home,N/A
Business Development (Sales),DevTown,Work from home,N/A
Telecalling,Right Recruit Consultancy,Work from home,N/A
Digital Marketing,Prolegion Pvt. Ltd.,Lucknow,N/A
Graphic Design,Agility AI Pvt. Ltd.,Work from home,N/A
Graphic Design,MARS Cosmetics,Delhi,N/A
Medical Sales,Neuralbits Technologies Private Limited,"Surat, Gopipura                                                                (Hybrid)",N/A
Video Editing/Making,MiTran Global,Chennai,N/A
"HR (Team, Projects & Coordination Role)",Bhartiyneer,Jodhpur,N/A
Software Testing (Automation + Manual),InstaWeb Labs Private Limited,Mumbai,N/A
Data Science,Maxgen Technologies Private Limited,Ahmedabad,N/A
Inside Sales,GenieHR Solutions Private Limited,Mohali                                                                (Hybrid),N/A
Software Development Engineering (Web),NCA IT Solutions,Noida,N/A
React Native Development,SaaSBanana Technologies,Noida,N/A
Project Management,ADORE,Kolkata,N/A
Operations,RedCraft Events,Ahmedabad,N/A
Law/Legal,Doveriye,Hyderabad,N/A
Project Management,ADORE,Kolkata,N/A
Marketing,Perceived Design,Bangalore,N/A
Operations,RedCraft Events,Ahmedabad,N/A
AI Researcher (Non Tech),ABEX Excellence Private Limited,Chennai,N/A
Law/Legal,Doveriye,Hyderabad,N/A
Graphic Design,Pace Pivot Private Limited,Bangalore                                                                (Hybrid),N/A
Video Editing/Making,Zinnov Management Consulting,Bangalore,N/A
Telecalling - Female,College Option,"Faridabad, Delhi, Noida                                                                (Hybrid)",N/A
Talent Acquisition,Creencia,Bangalore,N/A
Office Assistant,Institute Of Admissions Professionals,Bangalore,N/A
Telecalling,Houzay,Bangalore                                                                (Hybrid),N/A
Customer Service/Customer Support,NestAway Technologies Private Limited,Bangalore,N/A
Architecture,JC Design Studio,Delhi,N/A
Company Secretary (CS),Krishna Popat,"Palghar, Virar, Naigaon, Vasai, Boisar, Mira Bhayandar, Saphale, Vangaon, Kelwa, Umroli, Nalasopara, Dahisar Mori",N/A
Sales,The Affordable Organic Store,Work from home,N/A
Event Organiser/Host,Tablon,Bangalore,N/A
Product Management,Ketto Online Ventures Private Limited,Mumbai,N/A
Data Analyst,Maxgen Technologies Private Limited,Pune,N/A
Medical Sales,Neuralbits Technologies Private Limited,"Bangalore, Koramangala                                                                (Hybrid)",N/A
Social Media Marketing,CyberFrat,Mumbai,N/A
Digital Marketing,NRIWAY,"Amravati, Nagpur",N/A
Telecalling,Delkon Technologies,Bareilly,N/A
Artificial Intelligence (AI),Alphabt,Chennai,N/A
Medical Sales,Neuralbits Technologies Private Limited,"Secunderabad, Hyderabad                                                                (Hybrid)",N/A
Content Writing,Fantasy Flora Events Private Limited,Hyderabad                                                                (Hybrid),N/A
Events & Inventory Management,Qreative,"Thane, Navi Mumbai, Mumbai, Virar, Vasai",N/A
Founder’s Office,Techczar India Private Limited,Gurgaon,N/A
Managerial,Movi Ecoserve Private Limited,Mumbai,N/A
